ID,Gloss
Ang.50b03e,misterium
Ang.50b03f,.i.adseptem
Ang.50b03g,.i. species epdomadae
Ang.50b03h,uel septi m
Ang.50b03i,anae dies.
Ang.50b04a,.i.uietatum mundi et resurrectio ??? viii requies aeterna
Ang.50b04b,specialis
Ang.50b04c,in principio mundi
Ang.50b05a,inprincipio mundi
Ang.50b05b,epdomadae
Ang.50b05c,.i.áuii.
Ang.50b05d,ad.uii.
Ang.50b05e,accipiunt
Ang.50b05f,.i. epdomad vii diebus
Ang.50b06,die
Ang.50b07,numero
Ang.50b08a,simul
Ang.50b08b,senario nume
Ang.50b09b,.i.numerum
Ang.50b09c,laudaret
Ang.50b09d,numerus perfectus
Ang.50b09e,suis
Ang.50b09f,partibus
Ang.50b09g,denuᵐeris perfectus
Ang.50b09h,.i. unum
Ang.50b09i,post antior hic numer quia opus quia per meri factum est tep??? perfec tum .-
Ang.50b10a,sunt
Ang.50b10b,primae aebdomado.
Ang.50b11a,.i.epdomadis
Ang.50b11b,adom ???
Ang.50b11c,inlege
Ang.50b11d,hic nume rus noqm ??? tatur am suis par tibus.-
Ang.50b12a,similitudine septimi diei initiimundi
Ang.50b12b,.i.seruile
Ang.50b13,uel septimo
Ang.50b13b,ita? xxviii uel sabati ?? .c. ??? mille ius admuries muri adu par tibus suis im pletur hic numerus
Ang.50b15a,asabbato
Ang.50b15b,uel sabbatura
Ang.50b16,eti
Ang.50b18a,dies
Ang.50b18b,sed
Ang.50b19a,in honorem.
Ang.50b19b,proderlexerunt ???
Ang.50b21b,consecrantes
Ang.50b21c,.i. diis
Ang.50b21d,consecrabant
Ang.50b22a,.i.
Ang.50b22b,non sate???
Ang.50b22c,iouis
Ang.50b22d,mars
Ang.50b22e,sol
Ang.50b22f,i. numerantes
Ang.50b23a,animam
Ang.50b23b,.i. sanguinem
Ang.50b25a,sol
Ang.50b25b,uel calefacere
Ang.50b26a,.i. salomone
Ang.50b26b,.i. ait
Ang.50b26c,girog eo uel
Ang.50b26d,.i. sol
Ang.50b26e,.i. anim ae.
Ang.50b27a,adit
Ang.50b27b,credo q reuertitur
Ang.50b27c,qui est in se.
Ang.50b27e,felix capel la .i. mercur et uene cir culi ters non abuint sed circa solem laxiore ambitu circulantur deniq circulorum su centro in sole consu tu??? srlogis morum .ii. gene ra st in ductio et ratio ci natio rati o cinatio est oraratioti idq est qstio comperba tur.-
Ang.50b28a,.i. gemminum ministrat
Ang.50b28b,adit credo quidetur.
Ang.50b28c,desuper
Ang.50b28d,rud???
Ang.50b29a,credo quorum
Ang.50b29b,adum
Ang.50b29c,aliq no an solem aliquo pro sol ???
Ang.50b30a,.i. quasi iuvans pater
Ang.50b30b,desuper
Ang.50b31a,infra
Ang.50b31b,s. quorum
Ang.50b31c,credo ???
Ang.50b31d,pulcritudine
Ang.50b32a,desuper
Ang.50b32b,.i. homines
Ang.50b32c,.i. sé
Ang.50b32d,.i. prouocat
Ang.50b32e,credo ???
Ang.50b32f,eo
Ang.50b33a,altior
Ang.50b33b,post .i. complet
Ang.50b34a,complet
Ang.50b34b,complet
Ang.50b35a,.i.nominantur
Ang.50b35b,s. signiferum
Ang.50b35c,pro agens
Ang.50b36a,retedens ???
Ang.50b36b,complet signiferum
Ang.50b36c,.i. ueneri cccxxxviiii
Ang.50b37a,uelociore
Ang.50b37b,quia uenus uel sui cursus
Ang.51a01a,.i. sole
Ang.51a01b,.i. est ??? solgirat inca??? lx diebus
Ang.51a01c,lun in xxvii nacant gudius solem sit mensis plenus
Ang.51a04a,uidicabant
Ang.51a04b,deinordinata
Ang.51a05a,martis
Ang.51a05b,diei
Ang.51a05c,diei
Ang.51a05d,mercurius
Ang.51a05e,diei
Ang.51a05f,diei
Ang.51a05g,iouis
Ang.51a06a,diei
Ang.51a06b,uener
Ang.51a06c,saturnus
Ang.51a06d,diei
Ang.51a06e,dies ebdomadae ???
Ang.51a07a,ad??? pater patrae
Ang.51a08a,.i. securi
Ang.51a08b,estote
Ang.51a08c,deomnire nisideme???
Ang.51a11,euangelista
Ang.51a12a,s.inuisione
Ang.51a12b,non cupaum
Ang.51a13,ingenio
Ang.51a15a,tantum
Ang.51a16a,uel s
Ang.51a16b,.i. adde unum diem adseptem species dieis et fiunt
Ang.51a16c,s.impletis
Ang.51a16d,.l.
Ang.51a17a,s. diebus
Ang.51a17b,epdomada
Ang.51a19a,octobris
Ang.51a19b,ámense martiis usque adseptembris fitprincipium et finis
Ang.51a20a,s. consumabatur
Ang.51a20c,.i. purificationis
Ang.51a20d,percellebat
Ang.51a21,cum sanguine
Ang.51a22a,annorum
Ang.51a22b,.i. sacrificio
Ang.51a24a,paulus dixit hoc
Ang.51a24b,speramus
Ang.51a25a,s. lepersi
Ang.51a25b,iustificati ho mines
Ang.51a26a,mundari
Ang.51a26b,martius
Ang.51a26c,maius
