ID,Gloss
Ang.58a04,xxx.su per kalendis xi aprilis
Ang.58a05,lege hic cumsus
Ang.58a06a,intibus ??? hdr ianus rite nouem sic mars rscentat eosdem.
Ang.58a07a,xvi
Ang.58a07b,.i. etates perdictas
Ang.58a07c,insetertibus annis.
Ang.58a08a,xi.epactas unius cuius anni.
Ang.58a09,oeit kalendisianuarii in primo anno.
Ang.58a10a,qui??? fuerit super kalendis iunius
Ang.58a10b,inprimo anno
Ang.58a10c,xi. kalendis aprilis
Ang.58a10d,guar kalendis ianuaris
Ang.58a10e,insecundo anno
Ang.58a10f,eni
Ang.58a11a,cuius aetatis
Ang.58a11b,super xi.
Ang.58a13a,iunias
Ang.58a13b,s.contra dixerit
Ang.58a13c,.i. praesentis
Ang.58a13d,argumentum fsi???
Ang.58a15a,regularis paginae
Ang.58a15b,s.accipiemus
Ang.58a15c,paginae
Ang.58a16a,.i. guilerou.-
Ang.58a16b,hoc argumentum áme.
Ang.58a17a,pagina regularis inprincipio libri.
Ang.58a17b,nihil aliut designat nisi oetloir kalendispop un mis.
Ang.58a20a,.i. nomen ato ???
Ang.58a20b,curre adcompotum
Ang.58a20c,digitis numera si
Ang.58a22a,quia non explorat argumentum nisi annum saluum
Ang.58a22b,xxvii
Ang.58a22c,inordine circulidecennoualis
Ang.58a23a,xxix
Ang.58a23b,xxviii
Ang.58a23c,etates lunae in his ???idis. ianuaris
Ang.58a23d,uelquibus
Ang.58a23e,infine ogdad.
Ang.58a24a,inquo fiunt embolism
Ang.58a24b,circuli
Ang.58a27a,quoniam annus regularis fit.
Ang.58a27b,unum diem habet luna á secus solem plus in numeroo dies .-
Ang.58a28,xxx super kalendis februaris in hoc anno sed lunae ianuaris est
Ang.58a29,teirtngant ocloirto fiunt.
Ang.58a30,luna
Ang.58a31,finis circuli decennoualis
Ang.58a32,finis circuli est
Ang.58a33a,uel canatur
Ang.58a33b,uel numeratur
Ang.58a33c,xuiiii
Ang.58a33d,.annus
Ang.58a34a,quia in uno loco facimus saltum nos etegiptii.
Ang.58a34b,in .iiii mense sumus
Ang.58a35a,contrari
Ang.58a35b,non viii condes
Ang.58a36a,.i. sidas regulares adepcatas.
Ang.58a36b,s. habeat
Ang.58a36c,.i.infine anni
Ang.58a36d,quid buerat xxx esse .s.
Ang.58a37a,quia ibi inponitur
Ang.58a37b,saltus demit
Ang.58a37c,diem
Ang.58a37d,xxx
Ang.58a37e,diem
Ang.58a37f,ratione
Ang.58a37g,xxx.o.
Ang.58a37h,egiptii in .iiii. kalendis augustus
Ang.58a05b,uel tales
Ang.58a06b,Etates luna qui fiunt in kkalendis mensium primi anni decennouenalis circuli hae pro regularibus inseuqentium annorum kalendis singulorum mensium accipiuntur
Ang.58a08b,quia illo anno xi est luna.
Ang.58a27c,:quem
Ang.58b08a,.i. ianuaris uiiii. regulares et reliqua usque infinem anni.
Ang.58b10a,secunda lare argumentum hoc est quorum infine iterum xxviii annorum ad hunc ordinem uenit
Ang.58b14a,.) adagnoscendum diem septima naem super kalendis cuiusque .mensis.
Ang.58b15a,⁖ habet
Ang.58b35,4. tolle
Ang.58b01a,dimisisti secundum et admiritur tertium quia ab prima debuerat esse iamfa .-
Ang.58b01b,ut
Ang.58b01c,finem esset saltus
Ang.58b01d,luna
Ang.58b02a,ut latini faciunt
Ang.58b02b,praedicti
Ang.58b03,quia illa in paninius staltum
Ang.58b04,in uii. kalendis decembris
Ang.58b05,luna nouembris
Ang.58b06a,breuiter
Ang.58b06b,F aegptios facientes.
Ang.58b06c,egiptiorum
Ang.58b06d,non aianuario
Ang.58b07a,non ita apud nos.
Ang.58b07b,his adde annuas epacta non xviii.
Ang.58b08b,.i.
Ang.58b08c,incipiunt
Ang.58b08d,et non xviii
Ang.58b10b,auctoribus
Ang.58b10c,calculatoribus.
Ang.58b11a,a kalendis ianuaris
Ang.58b11b,utá ianuaris apud nos.
