ID,Gloss
BVi.01b14,ad septi mo numero
BVi.01b19.08,huare isharam foirb th e ind aram séde % is airi conro toich dia á gnimu indi
BVi.01b22,.i. numer ??
BVi.01b22.09,.i. óien assessed dáu atrian atrí alleth ásé
BVi.01b23,h.ex
BVi.01b28.10,fo chosmailius septimi diei mundi
BVi.01b36.11,noain mnigtis
BVi.01b38,ebdomada
BVi.01c08,prouocat
BVi.01c14a,complet
BVi.01c14b,ueneri
BVi.01c15,uelociorium
BVi.01c16.12,is do árrach tu grene hita incén naili
BVi.01c22a,% uiligro percis (?) forais
BVi.01c22b,martis
BVi.01c22c.13,cetain
BVi.01c22d,mercorius
BVi.01c23a,ioppiter
BVi.01c23b,ueneri
BVi.01c24a,saturnus
BVi.01c24b.14,.i. lanre sechtmaine
BVi.01c25.15,beth feil doibsem ocus bithbiuth chumsanath
BVi.01c38.16,uno .i. ondoenfiur
BVi.01d05a,annorum
BVi.01d05b.17,do idba rt
BVi.01d09,speramus
BVi.01d11.18,noglandis
