ID,Gloss
BVi.04b10.50,for xi
BVi.04b08.49,.i. ar chiunn .i. xi kalendae aprilis .i. anni ar chiun isin libur
BVi.04b12.51,hi frithcheist
BVi.04b13.52,argumint inna sén
BVi.04b16.53,pagine regularis
BVi.04b22.54,ambas cete .i. acht asrobartha inmí
BVi.04b23.55,.i. teora bliadni frithriagla
BVi.04b24.56,.i. ar nitoscelai argumint acht bliadni slain
BVi.04b25a,finis ogdad
BVi.04b25b,argument???
BVi.04b36.57,forcenn
BVi.04b45.58,egiptacdae .i. iiii kalendae
BVi.04c09.59,o thosuch bliadne egiptacdae
BVi.04c10.60,aetas lunae for kalendis mís egiptacdai inso
BVi.04c11b,lu
BVi.04c11.61,la … tum for ix
BVi.04c12,ix
BVi.04c18.63,.i. condib o kalendis ianuariis do inscanna
BVi.04c17.62,metnadfrithber
